State,District,Pincode,0-5 Age,5-17 Age,18+ Age,Total Enrolments,Child %
Andhra Pradesh,Adilabad,504216,19,2,0,21,100.0
Andhra Pradesh,Adilabad,504219,13,7,0,20,100.0
Andhra Pradesh,Adilabad,504220,1,0,0,1,100.0
Andhra Pradesh,Adilabad,504231,33,6,0,39,100.0
Andhra Pradesh,Adilabad,504251,28,10,0,38,100.0
Andhra Pradesh,Adilabad,504272,7,1,0,8,100.0
Andhra Pradesh,Adilabad,504273,39,26,0,65,100.0
Andhra Pradesh,Adilabad,504292,15,4,0,19,100.0
Andhra Pradesh,Adilabad,504293,20,14,0,34,100.0
Andhra Pradesh,Adilabad,504294,50,9,0,59,100.0
Andhra Pradesh,Adilabad,504295,27,15,0,42,100.0
Andhra Pradesh,Adilabad,504296,92,19,0,111,100.0
Andhra Pradesh,Adilabad,504299,97,32,0,129,100.0
Andhra Pradesh,Adilabad,504301,15,4,0,19,100.0
Andhra Pradesh,Adilabad,504302,17,5,0,22,100.0
Andhra Pradesh,Adilabad,504303,8,0,0,8,100.0
Andhra Pradesh,Adilabad,504304,6,1,0,7,100.0
Andhra Pradesh,Adilabad,504306,7,0,0,7,100.0
Andhra Pradesh,Adilabad,504307,55,7,0,62,100.0
Andhra Pradesh,Adilabad,504308,27,3,0,30,100.0
Andhra Pradesh,Adilabad,504309,11,3,0,14,100.0
Andhra Pradesh,Adilabad,504310,1,1,0,2,100.0
Andhra Pradesh,Adilabad,504311,57,22,0,79,100.0
Andhra Pradesh,Adilabad,504312,20,11,0,31,100.0
Andhra Pradesh,Adilabad,504313,83,18,0,101,100.0
Andhra Pradesh,Adilabad,504346,27,5,0,32,100.0
Andhra Pradesh,Alluri Sitharama Raju,507111,28,6,0,34,100.0
Andhra Pradesh,Alluri Sitharama Raju,507121,14,1,2,17,88.24
Andhra Pradesh,Alluri Sitharama Raju,507129,39,10,0,49,100.0
Andhra Pradesh,Alluri Sitharama Raju,507134,26,1,0,27,100.0
Andhra Pradesh,Alluri Sitharama Raju,507135,10,2,0,12,100.0
Andhra Pradesh,Alluri Sitharama Raju,531024,90,9,2,101,98.02
Andhra Pradesh,Alluri Sitharama Raju,531029,84,16,3,103,97.09
Andhra Pradesh,Alluri Sitharama Raju,531030,4,0,0,4,100.0
Andhra Pradesh,Alluri Sitharama Raju,531040,125,8,6,139,95.68
Andhra Pradesh,Alluri Sitharama Raju,531077,109,4,4,117,96.58
Andhra Pradesh,Alluri Sitharama Raju,531084,23,0,0,23,100.0
Andhra Pradesh,Alluri Sitharama Raju,531087,45,2,0,47,100.0
Andhra Pradesh,Alluri Sitharama Raju,531105,22,12,3,37,91.89
Andhra Pradesh,Alluri Sitharama Raju,531110,1,0,1,2,50.0
Andhra Pradesh,Alluri Sitharama Raju,531111,83,7,6,96,93.75
Andhra Pradesh,Alluri Sitharama Raju,531114,1,0,0,1,100.0
Andhra Pradesh,Alluri Sitharama Raju,531116,15,2,0,17,100.0
Andhra Pradesh,Alluri Sitharama Raju,531118,28,3,1,32,96.88
Andhra Pradesh,Alluri Sitharama Raju,531133,32,1,0,33,100.0
Andhra Pradesh,Alluri Sitharama Raju,531149,32,2,0,34,100.0
Andhra Pradesh,Alluri Sitharama Raju,531151,55,2,4,61,93.44
Andhra Pradesh,Alluri Sitharama Raju,533284,9,1,0,10,100.0
Andhra Pradesh,Alluri Sitharama Raju,533285,12,0,1,13,92.31
Andhra Pradesh,Alluri Sitharama Raju,533286,5,0,0,5,100.0
Andhra Pradesh,Alluri Sitharama Raju,533288,46,4,1,51,98.04
Andhra Pradesh,Alluri Sitharama Raju,533295,17,3,0,20,100.0
Andhra Pradesh,Alluri Sitharama Raju,533339,8,0,0,8,100.0
Andhra Pradesh,Alluri Sitharama Raju,533347,5,3,0,8,100.0
Andhra Pradesh,Alluri Sitharama Raju,533348,4,3,0,7,100.0
Andhra Pradesh,Alluri Sitharama Raju,533352,1,0,0,1,100.0
Andhra Pradesh,Alluri Sitharama Raju,533428,18,3,0,21,100.0
Andhra Pradesh,Alluri Sitharama Raju,533429,2,0,0,2,100.0
Andhra Pradesh,Alluri Sitharama Raju,533436,25,2,0,27,100.0
Andhra Pradesh,Alluri Sitharama Raju,533483,60,9,0,69,100.0
Andhra Pradesh,Alluri Sitharama Raju,535145,24,0,0,24,100.0
Andhra Pradesh,Alluri Sitharama Raju,535273,3,0,0,3,100.0
Andhra Pradesh,Anakapalli,530046,7,0,0,7,100.0
Andhra Pradesh,Anakapalli,531001,42,2,0,44,100.0
Andhra Pradesh,Anakapalli,531002,16,0,0,16,100.0
Andhra Pradesh,Anakapalli,531011,18,0,3,21,85.71
Andhra Pradesh,Anakapalli,531019,3,1,0,4,100.0
Andhra Pradesh,Anakapalli,531020,6,0,0,6,100.0
Andhra Pradesh,Anakapalli,531021,14,3,0,17,100.0
Andhra Pradesh,Anakapalli,531022,2,0,0,2,100.0
Andhra Pradesh,Anakapalli,531023,6,0,0,6,100.0
Andhra Pradesh,Anakapalli,531025,9,0,0,9,100.0
Andhra Pradesh,Anakapalli,531026,13,0,0,13,100.0
Andhra Pradesh,Anakapalli,531027,29,1,0,30,100.0
Andhra Pradesh,Anakapalli,531028,12,0,0,12,100.0
Andhra Pradesh,Anakapalli,531030,11,1,0,12,100.0
Andhra Pradesh,Anakapalli,531031,18,0,0,18,100.0
Andhra Pradesh,Anakapalli,531032,18,0,0,18,100.0
Andhra Pradesh,Anakapalli,531033,14,0,0,14,100.0
Andhra Pradesh,Anakapalli,531034,11,0,0,11,100.0
Andhra Pradesh,Anakapalli,531035,23,0,0,23,100.0
Andhra Pradesh,Anakapalli,531036,15,0,0,15,100.0
Andhra Pradesh,Anakapalli,531055,30,0,2,32,93.75
Andhra Pradesh,Anakapalli,531060,9,0,0,9,100.0
Andhra Pradesh,Anakapalli,531061,14,1,0,15,100.0
Andhra Pradesh,Anakapalli,531075,7,0,0,7,100.0
Andhra Pradesh,Anakapalli,531081,16,0,1,17,94.12
Andhra Pradesh,Anakapalli,531082,3,0,0,3,100.0
Andhra Pradesh,Anakapalli,531083,9,1,1,11,90.91
Andhra Pradesh,Anakapalli,531084,8,0,0,8,100.0
Andhra Pradesh,Anakapalli,531085,10,0,0,10,100.0
Andhra Pradesh,Anakapalli,531113,28,0,0,28,100.0
Andhra Pradesh,Anakapalli,531114,19,0,0,19,100.0
Andhra Pradesh,Anakapalli,531115,11,0,0,11,100.0
Andhra Pradesh,Anakapalli,531116,38,1,0,39,100.0
Andhra Pradesh,Anakapalli,531117,3,0,0,3,100.0
Andhra Pradesh,Anakapalli,531118,1,0,0,1,100.0
Andhra Pradesh,Anakapalli,531126,22,0,0,22,100.0
Andhra Pradesh,Anakapalli,531127,8,1,1,10,90.0
Andhra Pradesh,Anantapur,515001,420,47,3,470,99.36
Andhra Pradesh,Anantapur,515002,63,5,1,69,98.55
Andhra Pradesh,Anantapur,515003,17,1,0,18,100.0
Andhra Pradesh,Anantapur,515004,202,9,0,211,100.0
Andhra Pradesh,Anantapur,515005,6,0,0,6,100.0
Andhra Pradesh,Anantapur,515101,80,4,0,84,100.0
Andhra Pradesh,Anantapur,515110,59,9,0,68,100.0
Andhra Pradesh,Anantapur,515122,58,2,0,60,100.0
Andhra Pradesh,Anantapur,515123,42,3,0,45,100.0
Andhra Pradesh,Anantapur,515124,30,2,0,32,100.0
Andhra Pradesh,Anantapur,515133,53,6,0,59,100.0
Andhra Pradesh,Anantapur,515134,59,0,0,59,100.0
Andhra Pradesh,Anantapur,515144,82,1,0,83,100.0
Andhra Pradesh,Anantapur,515154,37,1,0,38,100.0
Andhra Pradesh,Anantapur,515159,14,0,0,14,100.0
Andhra Pradesh,Anantapur,515164,38,4,0,42,100.0
Andhra Pradesh,Anantapur,515201,207,17,0,224,100.0
Andhra Pradesh,Anantapur,515211,46,2,0,48,100.0
Andhra Pradesh,Anantapur,515212,52,4,0,56,100.0
Andhra Pradesh,Anantapur,515231,127,6,0,133,100.0
Andhra Pradesh,Anantapur,515241,32,3,0,35,100.0
Andhra Pradesh,Anantapur,515261,63,3,0,66,100.0
Andhra Pradesh,Anantapur,515271,45,7,0,52,100.0
Andhra Pradesh,Anantapur,515281,38,7,0,45,100.0
Andhra Pradesh,Anantapur,515286,29,5,0,34,100.0
Andhra Pradesh,Anantapur,515291,28,4,0,32,100.0
Andhra Pradesh,Anantapur,515301,94,5,0,99,100.0
Andhra Pradesh,Anantapur,515303,36,5,0,41,100.0
Andhra Pradesh,Anantapur,515305,36,6,0,42,100.0
Andhra Pradesh,Anantapur,515311,31,5,0,36,100.0
Andhra Pradesh,Anantapur,515321,41,2,0,43,100.0
Andhra Pradesh,Anantapur,515331,71,7,0,78,100.0
Andhra Pradesh,Anantapur,515341,41,1,0,42,100.0
Andhra Pradesh,Anantapur,515401,229,15,0,244,100.0
Andhra Pradesh,Anantapur,515402,53,4,0,57,100.0
Andhra Pradesh,Anantapur,515405,54,3,0,57,100.0
Andhra Pradesh,Anantapur,515408,116,1,0,117,100.0
Andhra Pradesh,Anantapur,515411,308,16,0,324,100.0
Andhra Pradesh,Anantapur,515414,45,0,0,45,100.0
Andhra Pradesh,Anantapur,515415,40,3,0,43,100.0
Andhra Pradesh,Anantapur,515425,131,6,0,137,100.0
Andhra Pradesh,Anantapur,515435,54,4,0,58,100.0
Andhra Pradesh,Anantapur,515445,63,3,0,66,100.0
Andhra Pradesh,Anantapur,515455,85,4,0,89,100.0
Andhra Pradesh,Anantapur,515465,92,2,0,94,100.0
Andhra Pradesh,Anantapur,515501,65,10,0,75,100.0
Andhra Pradesh,Anantapur,515511,38,1,0,39,100.0
Andhra Pradesh,Anantapur,515521,81,4,0,85,100.0
Andhra Pradesh,Anantapur,515531,48,2,0,50,100.0
Andhra Pradesh,Anantapur,515541,52,6,0,58,100.0
Andhra Pradesh,Anantapur,515551,40,1,0,41,100.0
Andhra Pradesh,Anantapur,515556,33,3,0,36,100.0
Andhra Pradesh,Anantapur,515561,83,5,0,88,100.0
Andhra Pradesh,Anantapur,515571,64,9,0,73,100.0
Andhra Pradesh,Anantapur,515581,91,3,0,94,100.0
Andhra Pradesh,Anantapur,515591,233,14,0,247,100.0
Andhra Pradesh,Anantapur,515601,15,0,0,15,100.0
Andhra Pradesh,Anantapur,515611,54,1,0,55,100.0
Andhra Pradesh,Anantapur,515621,93,4,0,97,100.0
Andhra Pradesh,Anantapur,515631,70,4,0,74,100.0
Andhra Pradesh,Anantapur,515641,86,3,0,89,100.0
Andhra Pradesh,Anantapur,515651,49,1,0,50,100.0
Andhra Pradesh,Anantapur,515661,64,2,0,66,100.0
Andhra Pradesh,Anantapur,515671,223,16,0,239,100.0
Andhra Pradesh,Anantapur,515672,108,9,0,117,100.0
Andhra Pradesh,Anantapur,515701,216,7,0,223,100.0
Andhra Pradesh,Anantapur,515711,108,9,0,117,100.0
Andhra Pradesh,Anantapur,515721,36,5,0,41,100.0
Andhra Pradesh,Anantapur,515722,44,3,0,47,100.0
Andhra Pradesh,Anantapur,515731,146,6,0,152,100.0
Andhra Pradesh,Anantapur,515741,83,6,0,89,100.0
Andhra Pradesh,Anantapur,515751,131,13,0,144,100.0
Andhra Pradesh,Anantapur,515761,283,11,0,294,100.0
Andhra Pradesh,Anantapur,515763,64,4,0,68,100.0
Andhra Pradesh,Anantapur,515765,125,13,1,139,99.28
Andhra Pradesh,Anantapur,515766,171,13,0,184,100.0
Andhra Pradesh,Anantapur,515767,107,4,0,111,100.0
Andhra Pradesh,Anantapur,515774,45,1,0,46,100.0
Andhra Pradesh,Anantapur,515775,126,8,0,134,100.0
Andhra Pradesh,Anantapur,515787,74,6,0,80,100.0
Andhra Pradesh,Anantapur,515801,327,32,1,360,99.72
Andhra Pradesh,Anantapur,515803,60,3,1,64,98.44
Andhra Pradesh,Anantapur,515812,192,13,0,205,100.0
Andhra Pradesh,Anantapur,515822,71,9,0,80,100.0
Andhra Pradesh,Anantapur,515832,88,7,0,95,100.0
Andhra Pradesh,Anantapur,515842,103,8,0,111,100.0
Andhra Pradesh,Anantapur,515863,99,7,0,106,100.0
Andhra Pradesh,Anantapur,515865,508,43,3,554,99.46
Andhra Pradesh,Anantapur,515867,144,12,0,156,100.0
Andhra Pradesh,Anantapur,515870,115,13,0,128,100.0
Andhra Pradesh,Anantapur,515871,320,31,0,351,100.0
Andhra Pradesh,Anantapur,515872,27,7,0,34,100.0
Andhra Pradesh,Annamayya,516101,30,1,5,36,86.11
Andhra Pradesh,Annamayya,516104,4,0,1,5,80.0
Andhra Pradesh,Annamayya,516105,10,0,1,11,90.91
Andhra Pradesh,Annamayya,516107,14,2,11,27,59.26
Andhra Pradesh,Annamayya,516108,7,1,5,13,61.54
Andhra Pradesh,Annamayya,516110,5,1,1,7,85.71
Andhra Pradesh,Annamayya,516115,32,2,3,37,91.89
Andhra Pradesh,Annamayya,516126,20,1,17,38,55.26
Andhra Pradesh,Annamayya,516127,14,0,3,17,82.35
Andhra Pradesh,Annamayya,516128,11,0,2,13,84.62
Andhra Pradesh,Annamayya,516129,13,1,1,15,93.33
Andhra Pradesh,Annamayya,516130,21,0,8,29,72.41
Andhra Pradesh,Annamayya,516150,17,0,2,19,89.47
Andhra Pradesh,Annamayya,516151,8,0,2,10,80.0
Andhra Pradesh,Annamayya,516214,14,5,1,20,95.0
Andhra Pradesh,Annamayya,516215,15,0,1,16,93.75
Andhra Pradesh,Annamayya,516257,19,0,1,20,95.0
Andhra Pradesh,Annamayya,516267,24,4,0,28,100.0
Andhra Pradesh,Annamayya,516268,15,0,2,17,88.24
Andhra Pradesh,Annamayya,516269,95,5,9,109,91.74
Andhra Pradesh,Annamayya,516270,13,0,0,13,100.0
Andhra Pradesh,Annamayya,516504,11,2,1,14,92.86
Andhra Pradesh,Annamayya,517213,6,0,0,6,100.0
Andhra Pradesh,Annamayya,517214,32,1,2,35,94.29
Andhra Pradesh,Annamayya,517234,16,4,1,21,95.24
Andhra Pradesh,Annamayya,517235,6,1,0,7,100.0
Andhra Pradesh,Annamayya,517236,13,0,1,14,92.86
Andhra Pradesh,Annamayya,517237,2,0,0,2,100.0
Andhra Pradesh,Annamayya,517247,2,0,0,2,100.0
Andhra Pradesh,Annamayya,517277,8,0,0,8,100.0
Andhra Pradesh,Annamayya,517280,13,0,0,13,100.0
Andhra Pradesh,Annamayya,517291,15,0,0,15,100.0
Andhra Pradesh,Annamayya,517297,37,1,2,40,95.0
Andhra Pradesh,Annamayya,517299,18,0,0,18,100.0
Andhra Pradesh,Annamayya,517305,12,0,0,12,100.0
Andhra Pradesh,Annamayya,517319,14,0,0,14,100.0
Andhra Pradesh,Annamayya,517325,154,10,17,181,90.61
Andhra Pradesh,Annamayya,517326,5,0,0,5,100.0
Andhra Pradesh,Annamayya,517350,12,1,0,13,100.0
Andhra Pradesh,Annamayya,517351,7,0,1,8,87.5
Andhra Pradesh,Annamayya,517352,7,0,0,7,100.0
Andhra Pradesh,Annamayya,517370,28,2,3,33,90.91
Andhra Pradesh,Annamayya,517390,15,1,0,16,100.0
Andhra Pradesh,Annamayya,517391,10,1,0,11,100.0
Andhra Pradesh,Annamayya,517417,16,0,1,17,94.12
Andhra Pradesh,Annamayya,517418,8,1,0,9,100.0
Andhra Pradesh,Bapatla,522101,46,4,1,51,98.04
Andhra Pradesh,Bapatla,522111,17,2,2,21,90.48
Andhra Pradesh,Bapatla,522113,3,0,0,3,100.0
Andhra Pradesh,Bapatla,522211,5,0,0,5,100.0
Andhra Pradesh,Bapatla,522256,6,0,1,7,85.71
Andhra Pradesh,Bapatla,522257,3,0,0,3,100.0
Andhra Pradesh,Bapatla,522258,3,0,0,3,100.0
Andhra Pradesh,Bapatla,522259,13,1,0,14,100.0
Andhra Pradesh,Bapatla,522261,14,1,0,15,100.0
Andhra Pradesh,Bapatla,522262,11,2,0,13,100.0
Andhra Pradesh,Bapatla,522264,6,0,0,6,100.0
Andhra Pradesh,Bapatla,522265,21,3,0,24,100.0
Andhra Pradesh,Bapatla,522268,15,1,2,18,88.89
Andhra Pradesh,Bapatla,522301,2,0,0,2,100.0
Andhra Pradesh,Bapatla,522309,10,10,0,20,100.0
Andhra Pradesh,Bapatla,522310,2,0,0,2,100.0
Andhra Pradesh,Bapatla,522311,7,0,0,7,100.0
Andhra Pradesh,Bapatla,522312,2,0,0,2,100.0
Andhra Pradesh,Bapatla,522313,5,0,0,5,100.0
Andhra Pradesh,Bapatla,522314,8,0,0,8,100.0
Andhra Pradesh,Bapatla,522315,1,0,0,1,100.0
Andhra Pradesh,Bapatla,522317,8,1,0,9,100.0
Andhra Pradesh,Bapatla,522318,5,0,0,5,100.0
Andhra Pradesh,Bapatla,522324,5,0,0,5,100.0
Andhra Pradesh,Bapatla,522325,7,3,0,10,100.0
Andhra Pradesh,Bapatla,522329,1,2,2,5,60.0
Andhra Pradesh,Bapatla,522341,4,0,0,4,100.0
Andhra Pradesh,Bapatla,523135,7,0,0,7,100.0
Andhra Pradesh,Bapatla,523155,7,0,1,8,87.5
Andhra Pradesh,Bapatla,523157,10,2,1,13,92.31
Andhra Pradesh,Bapatla,523165,5,1,0,6,100.0
Andhra Pradesh,Bapatla,523166,9,0,0,9,100.0
Andhra Pradesh,Bapatla,523167,12,1,0,13,100.0
Andhra Pradesh,Bapatla,523168,1,0,0,1,100.0
Andhra Pradesh,Bapatla,523169,13,0,1,14,92.86
Andhra Pradesh,Bapatla,523170,3,0,1,4,75.0
Andhra Pradesh,Bapatla,523171,2,0,0,2,100.0
Andhra Pradesh,Bapatla,523181,2,0,0,2,100.0
Andhra Pradesh,Bapatla,523184,7,1,0,8,100.0
Andhra Pradesh,Bapatla,523185,3,0,0,3,100.0
Andhra Pradesh,Bapatla,523186,4,0,0,4,100.0
Andhra Pradesh,Bapatla,523187,13,4,1,18,94.44
Andhra Pradesh,Bapatla,523190,4,1,0,5,100.0
Andhra Pradesh,Bapatla,523201,30,4,1,35,97.14
Andhra Pradesh,Bapatla,523212,7,1,0,8,100.0
Andhra Pradesh,Bapatla,523213,2,0,0,2,100.0
Andhra Pradesh,Bapatla,523214,0,0,1,1,0.0
Andhra Pradesh,Bapatla,523260,5,3,0,8,100.0
Andhra Pradesh,Bapatla,523261,5,2,1,8,87.5
Andhra Pradesh,Bapatla,523263,2,0,0,2,100.0
Andhra Pradesh,Bapatla,523301,18,2,0,20,100.0
Andhra Pradesh,Bapatla,523302,8,2,0,10,100.0
Andhra Pradesh,Bapatla,523303,12,1,0,13,100.0
Andhra Pradesh,Chittoor,517001,158,13,2,173,98.84
Andhra Pradesh,Chittoor,517002,70,4,6,80,92.5
Andhra Pradesh,Chittoor,517004,79,3,1,83,98.8
Andhra Pradesh,Chittoor,517101,27,0,0,27,100.0
Andhra Pradesh,Chittoor,517102,52,7,0,59,100.0
Andhra Pradesh,Chittoor,517112,48,5,0,53,100.0
Andhra Pradesh,Chittoor,517113,38,4,1,43,97.67
Andhra Pradesh,Chittoor,517123,56,2,0,58,100.0
Andhra Pradesh,Chittoor,517124,64,15,1,80,98.75
Andhra Pradesh,Chittoor,517125,66,2,0,68,100.0
Andhra Pradesh,Chittoor,517126,67,2,0,69,100.0
Andhra Pradesh,Chittoor,517127,57,5,0,62,100.0
Andhra Pradesh,Chittoor,517128,47,4,0,51,100.0
Andhra Pradesh,Chittoor,517129,59,2,1,62,98.39
Andhra Pradesh,Chittoor,517130,63,2,0,65,100.0
Andhra Pradesh,Chittoor,517131,69,4,0,73,100.0
Andhra Pradesh,Chittoor,517132,95,8,0,103,100.0
Andhra Pradesh,Chittoor,517152,20,2,0,22,100.0
Andhra Pradesh,Chittoor,517167,93,4,0,97,100.0
Andhra Pradesh,Chittoor,517172,54,1,0,55,100.0
Andhra Pradesh,Chittoor,517192,34,0,0,34,100.0
Andhra Pradesh,Chittoor,517193,19,1,0,20,100.0
Andhra Pradesh,Chittoor,517194,59,10,0,69,100.0
Andhra Pradesh,Chittoor,517213,45,2,0,47,100.0
Andhra Pradesh,Chittoor,517214,145,7,0,152,100.0
Andhra Pradesh,Chittoor,517234,74,5,0,79,100.0
Andhra Pradesh,Chittoor,517235,27,0,0,27,100.0
Andhra Pradesh,Chittoor,517236,50,4,0,54,100.0
Andhra Pradesh,Chittoor,517237,17,1,0,18,100.0
Andhra Pradesh,Chittoor,517247,309,23,3,335,99.1
Andhra Pradesh,Chittoor,517257,142,15,3,160,98.12
Andhra Pradesh,Chittoor,517277,19,1,0,20,100.0
Andhra Pradesh,Chittoor,517280,46,1,0,47,100.0
Andhra Pradesh,Chittoor,517291,29,3,0,32,100.0
Andhra Pradesh,Chittoor,517297,142,6,0,148,100.0
Andhra Pradesh,Chittoor,517299,32,4,0,36,100.0
Andhra Pradesh,Chittoor,517305,27,1,0,28,100.0
Andhra Pradesh,Chittoor,517319,30,2,0,32,100.0
Andhra Pradesh,Chittoor,517325,350,18,0,368,100.0
Andhra Pradesh,Chittoor,517330,1,0,0,1,100.0
Andhra Pradesh,Chittoor,517350,53,2,0,55,100.0
Andhra Pradesh,Chittoor,517351,29,3,0,32,100.0
Andhra Pradesh,Chittoor,517352,3,0,0,3,100.0
Andhra Pradesh,Chittoor,517370,78,7,0,85,100.0
Andhra Pradesh,Chittoor,517390,32,1,0,33,100.0
Andhra Pradesh,Chittoor,517391,53,6,0,59,100.0
Andhra Pradesh,Chittoor,517401,120,3,1,124,99.19
Andhra Pradesh,Chittoor,517403,22,0,0,22,100.0
Andhra Pradesh,Chittoor,517408,258,18,1,277,99.64
Andhra Pradesh,Chittoor,517414,45,4,1,50,98.0
Andhra Pradesh,Chittoor,517415,139,1,0,140,100.0
Andhra Pradesh,Chittoor,517416,101,21,4,126,96.83
Andhra Pradesh,Chittoor,517417,75,5,0,80,100.0
Andhra Pradesh,Chittoor,517418,29,1,0,30,100.0
Andhra Pradesh,Chittoor,517419,45,2,1,48,97.92
Andhra Pradesh,Chittoor,517421,72,7,1,80,98.75
Andhra Pradesh,Chittoor,517422,81,2,1,84,98.81
Andhra Pradesh,Chittoor,517423,125,7,0,132,100.0
Andhra Pradesh,Chittoor,517424,181,13,0,194,100.0
Andhra Pradesh,Chittoor,517425,521,32,9,562,98.4
Andhra Pradesh,Chittoor,517426,9,0,0,9,100.0
Andhra Pradesh,Chittoor,517429,80,8,0,88,100.0
Andhra Pradesh,Chittoor,517432,131,6,2,139,98.56
Andhra Pradesh,Chittoor,517501,367,43,0,410,100.0
Andhra Pradesh,Chittoor,517502,25,4,0,29,100.0
Andhra Pradesh,Chittoor,517503,39,6,0,45,100.0
Andhra Pradesh,Chittoor,517504,5,2,0,7,100.0
Andhra Pradesh,Chittoor,517505,75,5,0,80,100.0
Andhra Pradesh,Chittoor,517506,3,0,0,3,100.0
Andhra Pradesh,Chittoor,517507,106,19,0,125,100.0
Andhra Pradesh,Chittoor,517520,153,36,0,189,100.0
Andhra Pradesh,Chittoor,517526,46,6,0,52,100.0
Andhra Pradesh,Chittoor,517536,30,4,0,34,100.0
Andhra Pradesh,Chittoor,517541,90,10,0,100,100.0
Andhra Pradesh,Chittoor,517551,31,5,0,36,100.0
Andhra Pradesh,Chittoor,517561,47,3,0,50,100.0
Andhra Pradesh,Chittoor,517569,67,8,0,75,100.0
Andhra Pradesh,Chittoor,517571,23,2,0,25,100.0
Andhra Pradesh,Chittoor,517581,58,11,0,69,100.0
Andhra Pradesh,Chittoor,517582,116,9,0,125,100.0
Andhra Pradesh,Chittoor,517583,63,8,0,71,100.0
Andhra Pradesh,Chittoor,517584,12,1,0,13,100.0
Andhra Pradesh,Chittoor,517586,55,10,2,67,97.01
Andhra Pradesh,Chittoor,517587,34,2,0,36,100.0
Andhra Pradesh,Chittoor,517588,93,17,0,110,100.0
Andhra Pradesh,Chittoor,517589,85,14,0,99,100.0
Andhra Pradesh,Chittoor,517590,114,8,1,123,99.19
Andhra Pradesh,Chittoor,517591,68,6,1,75,98.67
Andhra Pradesh,Chittoor,517592,64,5,0,69,100.0
Andhra Pradesh,Chittoor,517599,21,0,0,21,100.0
Andhra Pradesh,Chittoor,517619,70,8,0,78,100.0
Andhra Pradesh,Chittoor,517620,47,6,0,53,100.0
Andhra Pradesh,Chittoor,517640,91,24,0,115,100.0
Andhra Pradesh,Chittoor,517641,42,3,0,45,100.0
Andhra Pradesh,Chittoor,517642,31,4,0,35,100.0
Andhra Pradesh,Chittoor,517643,74,16,0,90,100.0
Andhra Pradesh,Chittoor,517644,86,10,0,96,100.0
Andhra Pradesh,Chittoor,517645,3,1,0,4,100.0
Andhra Pradesh,Chittoor,631302,0,1,0,1,100.0
Andhra Pradesh,Chittoor,635121,2,0,0,2,100.0
Andhra Pradesh,Cuddapah,516001,254,22,1,277,99.64
Andhra Pradesh,Cuddapah,516002,168,22,0,190,100.0
Andhra Pradesh,Cuddapah,516003,213,22,0,235,100.0
Andhra Pradesh,Cuddapah,516004,58,1,0,59,100.0
Andhra Pradesh,Cuddapah,516101,154,16,0,170,100.0
